Publisher_ID,Name
1,Addison-Wesley Pub Co
2,Addison-Wesley Publishing
3,Anchor Books
4,Back Bay Books
5,Ballantine Books
6,Ballantine Books 
7,Berkley Pub Group
8,Clarkson N. Potter
9,Crown Pub
10,Del Rey
11,Dell Pub Co
12,"Donald M. Grant Publisher, Inc."
13,Doubleday
14,Fireside
15,Gibbs Smith Publisher
16,Harlequin
17,Harper
18,HarperCollins
19,Harperperennial Library
20,Harvard Univ Pr
21,Harvest Books
22,John Wiley & Sons
23,Jossey-Bass
24,Knopf
25,Lark Books
26,Little Brown & Company
27,Macromedia Press
28,McGraw-Hill Osborne Media
29,McGraw-Hill Trade
30,McGraw-Hill/Irwin
31,MIT Press
32,Morgan Kaufmann
33,Multnomah Publishers Inc.
34,New Riders Publishing
35,O'Reilly & Associates
36,Pantheon Books
37,Penguin USA 
38,Perennial
39,Perseus Publishing
40,Picador
41,Pocket Books
42,Prentice Hall
43,Prentice Hall PTR
44,Putnam Pub Group
45,Random House
46,Random House Trade Paperbacks
47,"Schmidt Ink, Inc."
48,Scribner
49,Scribner Paperback Fiction
50,Silhouette
51,Simon & Schuster
52,South-Western College Pub
53,St. Martin's Press
54,Sybex
55,Taunton Pr
56,Vendome Pr
57,Viking Press
58,Vintage Books
59,W.W. Norton & Company
60,Warner Books
61,"Wolfram Media, Inc."
62,Wrox Press Inc
